input_csv,title,url,matched_ok,match_type,matched_title,matched_url
results/articles_imane_khelif.csv,Olympic Boxer Imane Khelif Is Neither Trans Nor Male | Snopes.com,https://www.snopes.com/news/2024/08/05/imane-khelif-not-trans/,yes,url_exact,Olympic Boxer Imane Khelif Is Neither Trans Nor Male | Snopes.com,https://www.snopes.com/news/2024/08/05/imane-khelif-not-trans/
results/articles_imane_khelif.csv,Olympic Boxer Imane Khelif Is Not a Trans Athlete | Snopes.com,https://www.snopes.com/news/2024/08/02/imane-khelif-olympics-boxing/,yes,url_exact,Olympic Boxer Imane Khelif Is Not a Trans Athlete | Snopes.com,https://www.snopes.com/news/2024/08/02/imane-khelif-olympics-boxing/
results/articles_imane_khelif.csv,PolitiFact | Claims about Algerian boxer Imane Khelif’s Olympic boxing eligibility lack context,https://www.politifact.com/article/2024/aug/02/claims-about-algerian-boxer-imane-khelifs-olympic/,yes,url_exact,PolitiFact | Claims about Algerian boxer Imane Khelif’s Olympic boxing eligibility lack context,https://www.politifact.com/article/2024/aug/02/claims-about-algerian-boxer-imane-khelifs-olympic/
results/articles_imane_khelif.csv,Olympics 2024 boxing controversy: What we know and what we don't know - BBC Sport,https://www.bbc.com/sport/olympics/articles/cye0ex43k63o,yes,url_exact,Olympics 2024 boxing controversy: What we know and what we don't know - BBC Sport,https://www.bbc.com/sport/olympics/articles/cye0ex43k63o
results/articles_imane_khelif.csv,Gold Medal Boxer Slams “Scary” Decision To Allow Biological Male To Fight Women At Olympics - modernity,https://modernity.news/2024/08/02/gold-medal-boxer-slams-scary-decision-to-allow-biological-male-to-fight-women-at-olympics/,yes,url_exact,Gold Medal Boxer Slams “Scary” Decision To Allow Biological Male To Fight Women At Olympics - modernity,https://modernity.news/2024/08/02/gold-medal-boxer-slams-scary-decision-to-allow-biological-male-to-fight-women-at-olympics/
results/articles_imane_khelif.csv,"Simone Biles wins gold, Katie Ledecky makes Olympic history at the 2024 Summer Olympics | Live Updates",https://www.foxnews.com/live-news/olympics-2024-paris-august-1-2024,yes,url_exact,"Simone Biles wins gold, Katie Ledecky makes Olympic history at the 2024 Summer Olympics | Live Updates",https://www.foxnews.com/live-news/olympics-2024-paris-august-1-2024
results/articles_imane_khelif.csv,Imane Khelif: the Algerian boxer who overcame an ugly gender furore to win Olympic gold,https://theconversation.com/imane-khelif-the-algerian-boxer-who-overcame-an-ugly-gender-furore-to-win-olympic-gold-236175,yes,url_exact,Imane Khelif: the Algerian boxer who overcame an ugly gender furore to win Olympic gold,https://theconversation.com/imane-khelif-the-algerian-boxer-who-overcame-an-ugly-gender-furore-to-win-olympic-gold-236175
results/articles_imane_khelif.csv,Imane Khelif - Wikipedia,https://en.wikipedia.org/wiki/Imane_Khelif,yes,url_exact,Imane Khelif - Wikipedia,https://en.wikipedia.org/wiki/Imane_Khelif
results/articles_imane_khelif.csv,2024 Summer Olympics boxing controversy - Wikipedia,https://en.wikipedia.org/wiki/2024_Summer_Olympics_boxing_controversy,yes,url_exact,2024 Summer Olympics boxing controversy - Wikipedia,https://en.wikipedia.org/wiki/2024_Summer_Olympics_boxing_controversy
results/articles_imane_khelif.csv,Imane Khelif: Olympic boxer’s controversial Paris Games explained in full | The Independent,https://www.independent.co.uk/sport/olympics/imane-khelif-boxing-final-paris-2024-b2592661.html,yes,url_exact,Imane Khelif: Olympic boxer’s controversial Paris Games explained in full | The Independent,https://www.independent.co.uk/sport/olympics/imane-khelif-boxing-final-paris-2024-b2592661.html
